nidn,nama,jenis_kelamin,tanggal_lahir,agama,dosen_prodi,status,alamat
1887535520,"Pamela Moore, S.Kom., M.Kom",0,2003-12-15,2,603124,1,802-8685 Tristique St.
1424483074,"Alice Monroe, MIT",1,2001-07-12,3,603124,1,Ap #522-5242 Sagittis Road
1192983006,"Xander Castaneda, S.Kom., M.Cs",0,2003-11-28,5,603124,1,9014 Dictum Street
2735502367,"Jolene Estes, S.Kom., M.Kom",1,2002-09-17,4,603125,1,102-644 Euismod Ave
1797601693,"Sean Foley, PHD",1,2002-05-24,3,603124,3,"P.O. Box 218, 4004 Nibh St."
1339673024,"Gwendolyn Frye, MIT",0,2002-05-16,4,603124,1,Ap #809-7100 Ante. St.
2572467000,"Neve Fry, S.T., M.Cs",0,2003-07-24,4,603125,1,Ap #445-1789 A Street
1699854738,"Zahir Santos, S.Kom., M.T",1,2003-10-11,2,603125,2,2608 Libero St.
2334657716,"Tad Hernandez, MIT",1,2002-05-12,3,603125,1,207-1375 Aliquet St.
2570467057,"Alexis Franco, PHD",1,2002-11-09,3,603125,2,Ap #130-7384 Nunc Ave
1077074632,"Virginia Sloan, MIT",0,2002-09-25,1,603125,3,"7587 Non, Avenue"
1854345328,"Nathaniel Wheeler, S.T., M.Cs",0,2001-10-18,3,603124,3,Ap #904-6137 Suspendisse Rd.
2447624263,"Germaine Hobbs, S.Kom., M.Cs",1,1999-11-20,3,603125,2,"265-7945 Rutrum, Avenue"
1822308505,"Sawyer Tillman, S.Kom., M.Cs",0,2000-02-07,3,603125,1,"6525 Id, Av."
1384872581,"Ivy Swanson, S.Kom., M.T",1,2002-11-11,3,603124,3,Ap #440-2930 Mauris Road
2941254674,"Abbot Mcclure, S.T., M.Cs",1,1999-12-11,4,603124,2,681-4674 Curabitur Ave
2958178197,"Curran Robinson, S.Kom., M.T",1,2000-07-02,4,603125,2,"4992 Enim, Av."
1868729161,"Lara Landry, MIT",1,2002-09-27,1,603124,2,942-6986 Donec Road
2524067253,"Sopoline Dalton, PHD",0,2002-03-15,4,603124,3,175-5986 Sed Rd.
2210061598,"Katell Tanner, PHD",0,2002-07-10,4,603125,1,Ap #679-7974 Morbi Road
2743329378,"Stephen Hopkins, S.Kom., M.Kom",0,2001-08-18,3,603125,3,Ap #685-7239 Sit St.
1430278846,"Ferris Chase, PHD",1,2000-08-28,4,603125,2,477 Etiam Rd.
2236344469,"Eliana Roach, PHD",1,2002-10-05,3,603124,2,4009 Egestas Avenue
2361266700,"Katelyn Parks, S.T., M.Cs",0,2002-08-09,1,603125,1,749-1776 Facilisis Avenue
